iter	Passed	Remaining
0	18	18112
1	35	17708
2	56	18728
3	73	18380
4	92	18461
5	113	18821
6	135	19263
7	167	20767
8	196	21683
9	223	22123
10	251	22634
11	273	22513
12	319	24244
13	431	30355
14	451	29649
15	471	28975
16	499	28887
17	581	31737
18	642	33177
19	665	32585
20	685	31972
21	707	31440
22	731	31084
23	814	33116
24	845	32990
25	866	32447
26	888	32012
27	907	31505
28	929	31138
29	950	30732
30	1035	32375
31	1071	32399
32	1093	32055
33	1114	31678
34	1207	33288
35	1260	33763
36	1283	33418
37	1307	33097
38	1328	32746
39	1349	32399
40	1371	32083
41	1392	31763
42	1411	31412
43	1430	31079
44	1509	32034
45	1538	31902
46	1560	31642
47	1582	31379
48	1602	31104
49	1674	31815
50	1709	31802
51	1734	31620
52	1758	31417
53	1778	31151
54	1801	30960
55	1825	30766
56	1866	30873
57	1954	31750
58	1990	31748
59	2015	31577
60	2039	31394
61	2058	31143
62	2083	30991
63	2101	30733
64	2122	30531
65	2199	31131
66	2237	31164
67	2257	30941
68	2285	30833
69	2306	30640
70	2327	30448
71	2351	30313
72	2369	30087
73	2390	29912
74	2409	29714
75	2431	29558
76	2456	29444
77	2500	29553
78	2540	29613
79	2577	29636
80	2596	29459
81	2635	29502
82	2676	29571
83	2707	29525
84	2734	29431
85	2759	29327
86	2785	29234
87	2864	29686
88	2899	29682
89	2923	29562
90	2948	29456
91	2977	29390
92	3004	29303
93	3033	29235
94	3058	29136
95	3084	29044
96	3111	28970
97	3148	28975
98	3179	28936
99	3210	28898
100	3242	28862
101	3275	28841
102	3299	28732
103	3332	28709
104	3434	29276
105	3473	29291
106	3493	29158
107	3511	29003
108	3531	28869
109	3557	28782
110	3584	28710
111	3607	28601
112	3637	28553
113	3669	28519
114	3776	29064
115	3820	29112
116	3845	29019
117	3873	28951
118	3958	29304
119	4006	29382
120	4039	29343
121	4086	29410
122	4146	29561
123	4182	29546
124	4204	29432
125	4235	29380
126	4327	29744
127	4369	29766
128	4406	29751
129	4442	29730
130	4471	29662
131	4501	29602
132	4599	29981
133	4636	29966
134	4662	29875
135	4683	29753
136	4800	30239
137	4840	30233
138	4862	30120
139	4882	29994
140	4908	29903
141	4929	29786
142	4965	29758
143	4988	29651
144	5010	29547
145	5032	29434
146	5052	29320
147	5076	29226
148	5124	29266
149	5179	29347
150	5211	29300
151	5231	29186
152	5253	29082
153	5275	28982
154	5305	28924
155	5351	28953
156	5382	28898
157	5402	28791
158	5424	28691
159	5443	28580
160	5465	28481
161	5489	28398
162	5509	28291
163	5534	28211
164	5561	28142
165	5587	28072
166	5608	27977
167	5632	27892
168	5655	27810
169	5679	27729
170	5784	28042
171	5833	28083
172	5858	28004
173	5885	27937
174	5920	27909
175	5969	27945
176	6053	28145
177	6099	28167
178	6148	28202
179	6174	28127
180	6202	28063
181	6230	28003
182	6257	27934
183	6288	27888
184	6319	27840
185	6351	27798
186	6379	27733
187	6404	27660
188	6431	27598
189	6459	27537
190	6486	27473
191	6548	27559
192	6624	27697
193	6651	27634
194	6680	27576
195	6714	27544
196	6773	27610
197	6811	27591
198	6837	27521
199	6864	27458
200	6892	27398
201	6918	27331
202	7026	27585
203	7060	27549
204	7092	27503
205	7116	27429
206	7143	27364
207	7171	27305
208	7196	27236
209	7226	27183
210	7256	27135
211	7296	27120
212	7331	27088
213	7360	27033
214	7390	26985
215	7461	27082
216	7511	27102
217	7542	27054
218	7570	26996
219	7594	26927
220	7623	26871
221	7733	27102
222	7781	27112
223	7807	27049
224	7837	26995
225	7864	26932
226	7889	26867
227	7915	26800
228	7941	26736
229	7968	26678
230	7994	26613
231	8022	26555
232	8051	26503
233	8074	26430
234	8152	26537
235	8252	26716
236	8282	26663
237	8305	26592
238	8334	26537
239	8359	26470
240	8384	26405
241	8412	26350
242	8439	26291
243	8466	26232
244	8497	26185
245	8521	26118
246	8547	26058
247	8605	26094
248	8666	26139
249	8705	26117
250	8732	26057
251	8759	26001
252	8796	25971
253	8846	25982
254	8881	25948
255	8909	25894
256	8934	25829
257	8961	25772
258	8984	25705
259	9040	25731
260	9113	25804
261	9144	25759
262	9174	25708
263	9200	25648
264	9227	25594
265	9258	25548
266	9287	25496
267	9314	25442
268	9341	25384
269	9371	25336
270	9394	25272
271	9422	25217
272	9444	25150
273	9486	25134
274	9537	25145
275	9571	25107
276	9597	25049
277	9624	24997
278	9650	24938
279	9674	24877
280	9700	24820
281	9790	24927
282	9826	24896
283	9854	24844
284	9879	24785
285	9904	24727
286	9935	24681
287	10019	24771
288	10057	24744
289	10085	24692
290	10108	24628
291	10135	24574
292	10202	24618
293	10243	24597
294	10268	24539
295	10290	24475
296	10318	24422
297	10341	24361
298	10444	24487
299	10485	24465
300	10513	24414
301	10536	24351
302	10565	24304
303	10588	24241
304	10617	24194
305	10645	24142
306	10668	24082
307	10695	24031
308	10719	23972
309	10744	23914
310	10894	24135
311	10926	24094
312	10959	24055
313	10985	23999
314	11014	23951
315	11044	23906
316	11065	23841
317	11092	23790
318	11116	23731
319	11141	23676
320	11165	23617
321	11189	23560
322	11217	23512
323	11245	23463
324	11270	23407
325	11296	23355
326	11321	23301
327	11344	23242
328	11384	23218
329	11479	23307
